rank,player_id,player_name,position,season,total_snaps,success_rate,explosiveness,reliability,success_rate_scaled,explosiveness_scaled,reliability_scaled,CSS_Score,tier
28,00-0039875,Ray Davis,RB,2024,139,0.4316546762589928,2.90823726754752,2.4705882352941178,0.4619675046479669,0.7049497607850376,0.20904977375565612,0.4837818615728639,High-Floor
29,00-0038794,Jaleel McLaughlin,RB,2023,112,0.45535714285714285,2.06386428050464,6.0,0.5384360388024286,0.37500708114815595,0.5076923076923077,0.473549970845903,High-Floor
30,00-0039146,Jayden Reed,WR,2023,115,0.48695652173913045,2.571648654048605,0.7058823529411765,0.6403814702321532,0.5734261914889313,0.05972850678733033,0.4717838818108198,High-Floor
31,00-0039032,Tyjae Spears,RB,2023,170,0.38823529411764707,2.6379489615584526,4.9375,0.32188856001609245,0.5993333456213233,0.41778846153846155,0.44296921035851555,High-Floor
32,00-0039919,Rome Odunze,WR,2024,104,0.4519230769230769,2.5875263636771706,0.5625,0.5273571079628726,0.5796304805196498,0.04759615384615385,0.42571254982856493,High-Floor
33,00-0038544,Quentin Johnston,WR,2023,70,0.45714285714285713,2.469008054421283,0.25,0.5441970828389978,0.5333188988584824,0.021153846153846155,0.40962890927452944,High-Floor
34,00-0039325,Carson Steele,RB,2024,67,0.417910447761194,2.571648654048605,1.6666666666666667,0.41762608549825375,0.5734261914889313,0.14102564102564105,0.4030060114768377,High-Floor
35,00-0039849,Marvin Harrison Jr.,WR,2024,116,0.5,1.9291130780558368,0.6,0.6824621397166585,0.32235242082327253,0.05076923076923077,0.3985005108671164,Developmental
36,00-0039391,Kimani Vidal,RB,2024,52,0.28846153846153844,3.6633152468129992,1.8571428571428572,0.0,0.9999999999999999,0.15714285714285717,0.38928571428571423,Developmental
37,00-0039384,Tyrone Tracy Jr.,RB,2024,246,0.35365853658536583,2.7471623265300877,3.736842105263158,0.21033755525635367,0.6420089769404861,0.3161943319838057,0.387886747027663,Developmental
38,00-0038542,Bijan Robinson,RB,2023,300,0.37333333333333335,2.459619565483687,4.285714285714286,0.27381208272268365,0.5296503030538485,0.3626373626373626,0.38556177981726114,Developmental
39,00-0039738,Blake Corum,RB,2024,66,0.3939393939393939,2.571648654048605,2.0,0.34029103936285165,0.5734261914889313,0.16923076923076924,0.3791232750739589,Developmental
40,00-0039139,Jahmyr Gibbs,RB,2023,297,0.39730639730639733,2.0075047806188064,5.411764705882353,0.3511536139772585,0.35298434392103273,0.45791855203619913,0.3784856039723147,Developmental
41,00-0038551,Kendre Miller,RB,2023,52,0.4423076923076923,2.3446812249021605,0.0,0.49633610161211517,0.4847376108355699,0.0,0.3681926044372955,Developmental
42,00-0039165,Zach Charbonnet,RB,2023,148,0.41216216216216217,1.790892391302623,4.9411764705882355,0.3990810546746063,0.268342043337938,0.41809954751131223,0.3580770239159489,Developmental
43,00-0038621,Demario Douglas,WR,2023,87,0.42528735632183906,2.3395233179908246,0.46153846153846156,0.4414253547383612,0.48272213467307,0.039053254437869826,0.35528620264038646,Developmental
44,00-0039921,Trey Benson,RB,2024,69,0.391304347826087,1.3353196972748265,9.0,0.33178989401244674,0.09032489008515276,0.7615384615384616,0.35471428451939757,Developmental
45,00-0038555,Tank Bigsby,RB,2023,54,0.3333333333333333,2.571648654048605,2.75,0.14476469630353372,0.5734261914889313,0.2326923076923077,0.3167781224656163,Developmental
46,00-0039373,Audric Estimé,RB,2024,81,0.3950617283950617,1.8929361008631531,2.6923076923076925,0.34391189756765395,0.3082160983931588,0.227810650887574,0.30239305618656065,Developmental
47,00-0039890,Adonai Mitchell,WR,2024,59,0.3728813559322034,2.4583397172464174,0.14285714285714285,0.2723539201642752,0.5291501963907823,0.012087912087912088,0.29716611482446187,Developmental
48,00-0039342,Xavier Legette,WR,2024,91,0.4065934065934066,2.0733614903458926,0.35714285714285715,0.38111522088073146,0.3787181601525551,0.030219780219780223,0.2925523894606319,Developmental
49,00-0039052,Trey Palmer,WR,2023,77,0.4025974025974026,1.6877781523216981,0.8333333333333334,0.3682233740856117,0.22804967392281317,0.07051282051282053,0.24473494063543438,Developmental
50,00-0039021,Roschon Johnson,RB,2023,121,0.36363636363636365,1.7185352751985192,2.1666666666666665,0.2425278678331929,0.24006816302138,0.18333333333333332,0.22686833752409352,Developmental
51,00-0038705,Emari Demercado,RB,2023,88,0.3181818181818182,1.8170284580846783,4.25,0.09588311053870424,0.2785548332324137,0.3596153846153846,0.22575128200067263,Developmental
52,00-0039868,Troy Franklin,WR,2024,58,0.3448275862068966,2.1205665268789744,0.3333333333333333,0.18184727860788719,0.3971637481629292,0.028205128205128206,0.21879750535146217,Developmental
53,00-0039062,Jonathan Mingo,WR,2023,85,0.32941176470588235,2.1651813815309047,0.6,0.13211299175263658,0.4145972105324689,0.05076923076923077,0.21064652807972645,Developmental
54,00-0038597,Chase Brown,RB,2023,59,0.3050847457627119,2.430352784693241,0.0,0.05362953640300416,0.51821417207083,0.0,0.20282677478599215,Developmental
